DON'T THINK PEOPLE ACTUALLY USED "ALACK" LIKE THAT
100.00%: 
16.58%:  CAN
0.12%:  COULD CALL YOU T
0.12%:  NEED YOU TO CLEAN THIS UP
0.12%:  COULDN'T HELP NOTICE ALL THE SY
0.12%:  CAN'T HELP YOU SO
0.12%:  HAD NO IDEA THAT YOU ACT
0.12%:  NEED TO DEPOSIT A CHECK T
0.12%:  DON'T SPEAK P
0.12%: 'D LIKE TO CATCH UP AND
0.12%:  LOST THE C
0.12%:  STILL CAN'T LO
1.43%:  STILL CAN'T LOCATE THE
2.14%:  STILL CAN'T LOCATE THE KEY
0.12%: 'D LIKE TO THANK YOU AND AL
0.12%:  DON'T THINK YOU CHECKED ALL
0.12%:  CAN'T HELP D
0.12%:  THINK YOU ATE
0.12%:  TOTALLY NEED TO T
0.35%:  TOTALLY NEED TO TELL
0.12%:  ACTUALLY THINK THAT'S AN U
0.12%:  KINDA THINK YOU COULD'
0.12%:  COULDN'T HELP NOTICE THAT IS A
0.12%:  CALLED THE POLICE AND THEN YOU
0.12%: 'D LIKE TO TAKE A S
0.12%: 'LL CALL THE POLICE ON THIS EN
0.12%:  CAN SEE U
0.12%:  TOTALLY CANNOT HE
0.12%: 'LL CALL THE POLICE AND SAY "HE
0.12%:  NEED YOU TO DI
0.12%:  CAN'T HANDLE ALL THIS T
0.12%: 'LL LET YOU KEEP THAT LINE IN
0.12%:  NEED THAT ONE KEY
0.12%:  CAN ACTUALLY TAL
0.12%:  SPENT LIKE A
0.12%:  DON'T SEE YOU IN THE
0.12%:  CAN TOTALLY CHE
0.14%:  CAN TOTALLY CHEAT ON
0.12%:  PUT THE KEYS IN A PLACE THAT I CO
0.64%:  PUT THE KEYS IN A PLACE THAT I COULDN
0.47%:  PUT THE KEYS IN A PLACE THAT I COULD E
0.23%:  PUT THE KEYS IN A PLACE THAT I COULD NE
0.12%: 'LL TAKE YOU TO DIS
0.12%:  CAN TOTALLY ADD SO
0.12%:  CAN TELL YOU CAN HE
0.12%: 'LL STAND ON
0.18%: 'LL STAND ON THE
0.12%:  THINK YOU'D S
0.12%:  THINK YOU SHOULD PEN
0.12%:  COULD TOTALLY USE AN AD
0.12%:  THINK YOU NEED TO SPEAK UP A LITTLE L
0.12%:  NEED TO PICK UP THE CLEAN
0.12%:  KINDA THINK THAT'S U
0.12%: 'LL CALL THE POLICE AND THEN E
0.12%:  CAN ALSO TELL YOU THAT IN
0.12%: 'LL LISTEN TO ANY
0.12%:  COULD ALSO T
0.12%:  PUT THE KEYS IN THE COLD
0.12%: 'LL CALL THE POLICE HO
0.12%:  THINK YOU SHOULD PICK AN
0.12%:  CAN ALSO TOTALLY PUT
0.12%: 'LL LET YOU KEEP THE CON
0.12%:  USED TO CALL YOU C
0.12%: 'LL KICK YOU IN THE HEAD UN
0.24%: 'LL KICK YOU IN THE HEAD UNLE
0.12%:  CAN SEE THE N
0.12%:  COULD CALL YOU '
0.12%: 'LL PUT THAT IN THE S
0.12%:  USED TO CALL YOU THAT T
0.16%:  USED TO CALL YOU THAT TILL
0.12%:  CAN SEE TH
0.12%:  CALLED THE POLICE AND THIS
0.12%:  CALL THAT ONE
0.12%:  CAN SEE YOU PEE
0.12%:  THINK YOU SHOULD ALLE
0.12%: 'D LIKE TO PUT THAT
0.17%: 'D LIKE TO PUT THAT IN A P
0.38%: 'D LIKE TO PUT THAT IN A PLAY SO
0.16%: 'D LIKE TO PUT THAT IN ONE
0.12%:  THINK IT'S AN
0.12%:  ACTUALLY KINDA NE
0.34%:  ACTUALLY KINDA NEED TO
0.29%:  ACTUALLY KINDA NEED THESE
0.16%:  ACTUALLY KINDA NEED TO USE
0.16%:  ACTUALLY KINDA NEED THE C
0.12%: 'D LIKE TO TELL YOU I CAN
0.12%:  SPENT A
0.12%: 'LL THINK YOU CAN
0.12%:  ASKED YOU TO KEEP THE CH
0.12%:  THINK YOU SHOULD PI
0.12%:  THINK YOU'LL CATCH
0.12%:  KEEP L
0.12%:  NOTICE YOU H
0.12%:  THINK THAT'S ACTUALLY CALLED LO
0.12%:  ASKED YOU TO CHECK THE PAN
0.12%:  THINK PEOPLE SHOULD LE
0.12%:  ASKED YOU TO PUT THE C
0.12%:  PUT THE KEYS O
0.12%:  PICKED UP THAT
0.13%:  PICKED UP THAT YOU
0.12%: 'LL NEED THAT
0.12%:  NEED YOU TO HIDE THE
0.12%:  USED TO THINK THAT ALL YOU D
0.12%: 'LL CALL THE POLICE AND SUE YOU AND E
0.12%: 'LL TAKE YOU UP ON IT
0.12%:  NEED HELP PUT
0.12%:  HOPE YOU CALL
0.12%: 'LL PUT YOU IN A ST
0.12%: 'LL TELL PEOPLE YOU SAID THE N
0.12%:  ACTUALLY NEED TO P
0.39%:  ACTUALLY NEED TO PICK UP SO
0.29%:  ACTUALLY NEED TO PICK UP THE
0.33%:  ACTUALLY NEED TO PICK UP THE KIDS AT
0.19%:  ACTUALLY NEED TO PICK UP A
0.19%:  ACTUALLY NEED TO PICK UP THE KIDS T
0.13%:  ACTUALLY NEED TO PICK UP THE KIDS TON
0.12%:  HAD NO IDEA YOU STILL CHECK
0.12%:  TOTALLY CALLED SH
0.12%:  CAN TOTALLY SEE THAT LACK
0.12%:  KINDA NEED YOU TO SPELL "
0.12%:  CAN'T TALK A
0.12%:  HAD NO IDEA THAT YOU KEPT UP
0.12%:  ASKED YOU TO CLEAN THE KITCHEN A
0.12%:  PUT YOU IN THIS
0.12%:  CALL THIS ONE THE
0.12%:  NEED ALL THE HELP YOU'
0.12%:  NEED YOU TO HELP S
0.12%:  HAD NO IDEA THAT T
0.12%:  NEED ALL THE HELP YOU CAN O
0.12%:  NEED YOU TO PLEASE TA
0.12%:  CAN SEE THAT AND THE
0.12%:  THINK YOU SHOULD ACCEPT A
0.12%:  CAN LEND YOU THE S
0.12%:  PUT YOU IN ALL THE S
0.12%:  CAN TOTALLY HO
0.12%:  COULDN'T HELP NOTICE THIS T
0.12%: 'LL LET YOU IN ON THIS
0.12%:  CAN TOTALLY KEEP THIS A
0.12%:  PUT THE KEYS IN THE L
0.12%:  CAN'T CALL YOU THAT ALL D
0.12%:  THINK YOU NEED A L
0.14%:  THINK YOU NEED A LITTLE HELP T
0.12%:  THINK THAT'S ACTUALLY A COOL N
0.12%:  COULD TOTALLY TAKE ALL THIS
0.12%: 'LL ASK A
0.12%:  CAN'T HELP THAT YOU SUCK AT LO
0.12%:  THINK YOU CAN DO S
0.12%:  THINK YOU CAN CUT THE
0.12%:  CAN TOTALLY HANDLE THAT D
0.12%:  NEED YOU TO HANDLE THIS A
0.12%:  THINK PEOPLE SAY "ALACK" IN
0.12%:  DON'T THINK YOU APP
0.12%:  CHECKED THE KEY
0.12%:  ACTUALLY LOOKED THAT
0.61%:  ACTUALLY LOOKED THAT UP AND
0.57%:  ACTUALLY LOOKED THAT UP AND THE
0.42%:  ACTUALLY LOOKED THAT UP AND IT
0.18%:  ACTUALLY LOOKED THAT UP AND IT'S "
0.16%:  ACTUALLY LOOKED THAT UP AND IT'S "ALL
0.12%:  CALLED THE POLICE AND TO
0.12%:  THINK THAT'S CALLED AN ALLE
0.12%:  DID NOT SAY THE
0.12%:  THINK YOU'D AL
0.12%:  CAN TELL YOU DON'T U
0.12%:  SU
0.12%:  CAN SEE YOU ATTEND
0.12%:  THINK YOU NEED TO CHILL A
0.12%: 'LL CALL THE POLICE AND SAY A
0.12%:  COULD PO
0.12%:  CAN TOTALLY HELP ONCE THE
0.12%:  CAN'T LET YOU DO THAT I
0.12%: 'D LIKE TO PUT THE
0.12%:  COULD KICK
0.12%:  THINK THAT'S ACTUALLY A LEAD
0.12%: 'D LIKE TO TELL YOU THAT A L
0.12%:  NEED THAT ONE KEY THAT
0.12%:  LOOKED IN ALL THE C
0.12%:  USED TO CALL IT
0.12%:  ASKED YOU TO HANDLE IT
0.12%:  COULD USE A LITTLE HELP TO HEL
0.12%:  NEED TO USE THE HO
0.12%:  ASKED THAT ONE
0.12%:  NEED THE KEYS TO TA
0.12%:  COULDN'T HELP IT THIS ON
0.12%:  DON'T THINK IT COUL
0.12%:  THINK YOU SHOULD CALL AN AT
0.12%:  ACTUALLY THINK IT'S CO
0.12%:  HAD NO IDEA NO
0.12%:  LIKE THAT YOU USED THE P
0.12%:  THINK THAT'S ACTUALLY A D
0.12%:  COULDN'T HELP NOTICE THAT DE
0.12%:  NEED YOU TO TEACH THE
0.12%:  STOLE THE KEY
0.12%:  THINK YOU NEED TO SPEAK UP A LITTLE C
0.12%: 'LL CALL THIS ONE "THE TALE
0.12%: 'D LIKE TO TELL YOU THAT I HE
0.12%:  THINK YOU SHOULD DECLINE ALL
0.12%:  CAN HONE
0.12%:  COULD USE A LITTLE HELP ALACK IN
0.12%:  THINK YOU SHOULD PLAN A
0.12%:  CAN SEE THE TIT
0.12%:  ACTUALLY THINK THAT'S CALLED "PO
0.12%: 'D LIKE TO THANK ALL THE PEOPLE I D
0.12%:  COULD TOTALLY TAKE IT
0.12%:  LOOKED IN ALL THE PLACES THEY T
0.12%:  PUT THE KEYS ON THE CLO
0.12%:  NEED YOU TO HANDLE SHIT
0.12%:  NEED A LITTLE HELP ON THAT
0.12%:  CAN TOTALLY SPELL IT
0.12%:  THINK YOU SHOULD CALL 
0.12%:  COULD USE A LITTLE HELP IN A HANDLE
0.12%:  LOOKED IT UP AND THAT'S ACTUALLY ALL I
0.12%:  ACTUALLY HAD NO INT
0.12%:  DON'T ACTUALLY SPEAK THE L
0.12%: 'LL TELL YOU THIS ONE T
0.12%:  COULD USE A LITTLE HELP IN THE "CON
0.12%:  COULD TELL THIS
0.12%:  CAN TOTALLY PULL THIS OUT
0.12%:  HOPE YOU SE
0.12%:  THINK YOU NEED TO TAKE THIS C
0.12%:  COULDN'T HELP NOTICE THE I
0.12%:  TOTALLY SEE THAT AND
0.12%:  LOOKED IT UP AND IT'S ACTUALLY LE
0.12%: 'LL CALL THE POLICE AND SAY I D
0.12%:  KINDA HATE YOU AND
0.12%:  TOLD YOU THAT I'
0.12%:  THINK I NEED TO DO
0.12%:  THINK YOU SHOULD ACCENT
0.12%:  THINK YOU NEED TO AT
0.23%:  THINK YOU NEED TO AT LE
0.49%:  THINK YOU NEED TO AT LEAST CHECK
0.21%:  THINK YOU NEED TO AT LEAST HE
0.12%:  PUT YOU IN ALL CAPS IN THE
0.12%:  CAN'T HELP IT YOU LO
0.12%:  DON'T ACTUALLY THINK HE SAID AL
0.12%: 'LL CALL THE POLICE AND DENY THIS
0.12%:  COULDN'T HELP DO
0.12%:  HOPE ALL
0.12%:  NEED TO SELL THE
0.12%:  DON'T THINK YOU CA
0.12%:  COULD LOSE THE
0.12%:  NEED TO PICK UP THE KIDS ON
0.12%:  HOPE THAT'S A
0.12%:  DON'T THINK THAT I
0.12%:  CAN TOTALLY SEE THE N
0.12%:  HOPE YOU DIE AND
0.12%: 'D LIKE YOU TO ST
0.12%:  DID NOT ASK THAT
0.12%:  NEED HIS KEY
0.12%:  HAD NO IDEA YOU CAN'T SPEAK
0.12%:  COULDN'T HELP NOTICE THAT SAY
0.12%: 'D LIKE TO THANK SHA
0.12%: 'LL STEAL THE KEY
0.12%:  COULD TOTALLY USE A LITTLE N
0.12%:  COULDN'T ASK ANY
0.12%:  THINK YOU SHOULD KEEP ACT
0.12%:  THINK PEOPLE SAY THE
0.12%:  NEED YOU TO ACT LIKE A N
0.12%:  NEED YOU TO SET UP
0.12%:  NEED YOU TO HELP A
0.12%:  PUT ALL THE KEYS IN ONE PLACE TO
0.12%:  CAN'T DO THIS ALL
0.12%:  CAN'T HELP YOU ON THIS
0.12%: 'LL TOTALLY SET
0.12%: 'D LIKE TO SAY THAT NO
0.12%:  THINK YOU'LL HE
0.12%:  DON'T H
0.12%:  CAN CALL YOU "THE
0.12%:  NEED YOU TO SPEAK IN THE
0.12%:  CANNOT HELP THAT
0.12%:  CAN'T TELL ANY
0.12%:  HOPE ALL THE
0.12%:  CALL THAT S
0.12%:  CAN'T HELP IT THAT YOU SOUNDED LIKE A L
0.12%:  ACTUALLY DON'T THINK I USED TO
0.12%:  KINDA LIKE TO
0.12%: 'LL TAKE THESE KEY
0.12%:  USED TO THINK YOU'D LE
0.12%:  COULD TOTALLY USE THAT N
0.12%:  NEED TO ASK YOU A TH
0.12%:  ASKED YOU THAT LIKE 
0.12%:  COULD USE A LITTLE HELP TO K
0.12%:  COULD TOTALLY CAUSE
0.12%: 'LL HELP YOU AND
0.12%: 'LL LET YOU CHECK OUT ALL THE S
0.12%:  STILL DON'T THINK YOU HEL
0.13%:  STILL DON'T THINK YOU HELPED E
0.12%: 'LL STAND OUT
0.12%:  SEE YOU H
0.12%:  CAN TOTALLY CALL THAT ONE
0.12%:  HOPE THAT ONE
0.12%:  COULDN'T HELP THAT ONE SLIDE
0.12%:  COULD TOTALLY PUNCH A
0.12%: 'LL LET YOU TAKE THIS
0.22%: 'LL LET YOU TAKE THIS ONE
0.12%:  THINK THAT'S CALLED L
0.12%:  THINK YOU'LL NEED TO STEP UP
0.12%:  TOLD YOU I D
0.12%:  CAN DO T
0.21%:  CAN DO THOSE L
0.18%:  CAN DO THOSE ANY
0.16%:  CAN DO THOSE IN
0.12%:  COULDN'T HELP IT SO
0.12%:  CAN'T HELP IT THAT YOU SPE
0.17%:  CAN'T HELP IT THAT YOU SPEAK IN
0.14%:  CAN'T HELP IT THAT YOU SPEAK LI
0.12%:  CAN'T HELP IT THAT YOU SPEAK LIKE A
0.12%:  CAN SEE YOU CAN'T DO
0.23%:  CAN SEE YOU CAN'T DO THAT
0.12%:  NEED YOU H
0.12%:  CAN TOTALLY SP
0.12%:  THINK I'LL TELL YOU A
0.12%:  CAN DO YOU
0.12%:  PUT THE KEYS ON THE COUC
0.12%:  THINK YOU SHOULD CALL T
0.12%:  PUT YOU IN ALL CAPS TO H
0.12%:  LIK
0.43%:  LIKED THE
0.25%:  LIKED THAT
0.39%:  LIKED THAT ONE
0.18%:  LIKED THE P
0.15%:  LIKED THE PLAYS THAT
0.13%:  LIKED THE ONE
0.12%:  COULD USE A LITTLE HELP AT THE LO
0.12%: 'LL TOTALLY NE
0.12%:  ACTUALLY DON'T THINK I SA
0.12%:  CAN TOTALLY HELP ONCE I'
0.12%:  COULD TOTALLY USE HELP P
0.12%:  CAN'T TELL YOU A
0.12%:  NEED A S
0.12%:  COULD USE A LITTLE HELP IN THE 
0.12%:  TOTALLY HAD NO IDEA HE
0.12%:  THINK YOU NEED TO TELL E
0.12%:  THINK YOU'D LIKE THE C
0.12%:  NEED THAT TO
0.12%:  COULD USE A LITTLE HELP TODAY HA
0.12%:  THINK THAT'S ACTUALLY AN APP
0.12%:  CAN HELP YOU TELL ST
0.12%:  TOTALLY ST
0.21%:  TOTALLY STILL LO
0.12%:  NEED TO SPEAK TO U
0.12%:  KINDA THINK YOU COULD P
0.12%:  NEED YOU TO KEEP AT
0.12%:  THINK YOU SHOULD TAKE E
0.12%:  CAN'T PULL UP
0.12%:  THINK PEOPLE SHOULD C
0.12%:  ACTUALLY STAND
0.12%:  CAN'T ACTUALLY U
0.12%:  CAN LET
0.32%:  CAN LET YOU USE
0.34%:  CAN LET YOU USE THE
0.14%:  CAN LET YOU K
0.14%:  CAN LET YOU KEE
0.12%:  COULD USE A LITTLE HELP ON THE 
0.12%:  THINK I'LL NEED TO CHECK
0.12%:  NEED TO TELL YOU THAT I A
0.14%:  NEED TO TELL YOU THAT I ACC
0.12%:  CAN'T HELP THAT SOUN
0.12%:  HAD NO IDEA YOU PUT THAT
0.12%:  NEED TO CALL THE PLACE THAT DO
0.12%:  NOTICE THAT YOU USED "ALACK" AND TH
0.12%:  COULD PUT THE
0.12%:  NOTICED THAT YOU USED THE "ALACK" IN A
0.12%:  LOOKED IN ALL THE PLACES AND I TH
0.12%:  THINK YOU PULLED THAT L
0.12%: 'LL TALK TO YOU THE
0.12%:  THINK YOU NEED TO AD
0.12%:  NEED TO STEAL YOU AND
0.12%:  STOL
0.34%:  STOLEN THE
0.27%:  STOLEN ALL
0.19%:  STOLEN ALL THE
0.16%:  STOLEN THE KEY
0.12%:  KINDA THINK YOU LOST
0.12%:  LIKE SO
0.12%:  NEED YOU TO KEEP IT UP AND
0.12%:  DON'T THINK YOU KEEP UP
0.12%:  NEED YOU TO ACT LIKE THE AUTH
0.12%: 'D DO
0.15%: 'D DO THE
0.12%:  CAN TOTALLY HANDLE THIS C
0.12%: 'LL LET YOU CUT IN LINE AT THE DEL
0.12%:  USED TO CALL YOU "C
0.12%:  NEED YOU TO KEEP THIS UP AND
0.12%:  COULD USE A LITTLE HELP IN TO
0.12%:  CAN TOTALLY HACK THE
0.12%:  ACTUALLY USE THAT
0.12%:  NEED YOU TO AT LEAST L
0.12%:  THINK YOU'LL NEED TO TELL US
0.12%:  NEED YOU TO AL
0.12%:  THINK YOU SHOULD TAKE "
0.12%:  ACTUALLY HAD SO
0.12%:  THINK IT'S NOT
0.12%:  COULD USE A LITTLE HELP AND HO
0.12%:  USED TO CALL YOU THAT NICK
0.12%: 'LL LET YOU CUT IN LINE AT THE L
0.12%:  KINDA NEED YOU TO C
0.45%:  KINDA NEED YOU TO CALL THE
0.12%:  COULD TOTALLY SHA
0.17%:  COULD TOTALLY SHAKE H
0.12%:  ACTUALLY COULDN'T HE
0.12%:  KINDA NEED TO P
0.24%:  KINDA NEED TO PICK UP SO
0.23%:  KINDA NEED TO PICK UP THE
0.12%: 'LL TELL YOU THIS IN AD
0.12%:  NEED C
0.12%:  KINDA NOTICE THAT
0.12%:  ACTUALLY NEED TO ASK A
0.12%:  NEED TO DIS
0.12%:  CAN PUT YOU IN ALL
0.14%:  CAN PUT YOU IN ALL THE
0.12%: 'LL TAKE YOU UP ON THAT INST
0.12%:  LIKE YOU AND ALL
0.12%:  TOTALLY DON'T SEE THE
0.12%: 'LL TAKE ONE
0.12%: 'LL ADD
0.12%:  CAN'T HELP YOU OUT H
0.12%:  DON'T THINK YOU HAPP
0.12%:  COULD TOTALLY USE A LITTLE HAND IN
0.12%:  ASKED YOU TO D
0.12%:  DID NOT ASK TO HE
0.12%:  COULD USE A LITTLE "TH
0.12%:  COULD USE A LITTLE HELP TO C
0.12%:  SEE YOU D
0.12%:  SEE YOU DON
0.12%:  NEED YOU TO CHILL AND
0.12%:  STILL NEED YOU TO PICK
0.28%:  STILL NEED YOU TO PICK UP THE
0.12%:  COULD USE A LITTLE HELP NAT
0.12%:  NOTICE THAT YOU USED "ALACK" IN PL
0.12%:  CAN TELL SO
0.12%:  DON'T ACTUALLY CO
0.12%:  THINK IT'S ONLY
0.12%:  KINDA NEED H
0.12%:  DON'T THINK I COULD ST
0.12%:  SHOULD NOT
0.12%:  NEED TO CO
0.12%:  CAN SEE YOU ON T
0.12%:  ACTUALLY THINK ALL THE
0.12%:  LET YOU IN ON THIS
0.12%:  NEED YOU TO CHECK E
0.12%:  NEED YOU TO CALL THE C
0.12%:  CAN TOTALLY PUN
0.28%:  CAN TOTALLY PUNCH THE
0.25%:  CAN TOTALLY PUNCH OUT
0.24%:  CAN TOTALLY PUNCH THESE
0.13%:  CAN TOTALLY PUNCH OUT THE
0.13%:  CAN TOTALLY PUNCH THESE OUT
0.12%:  NEED YOU TO SHAKE UP
0.14%:  NEED YOU TO SHAKE UP THE
0.12%:  ASKED YOU TO CHECK THE L
0.12%: 'D LIKE TO DO THE
0.12%:  DON'T THINK THESE COUL
0.12%:  THINK PEOPLE SAY "ALACK" ALL
0.12%:  HAD NO IDEA YOU HE
0.12%:  COULDN'T HELP NOTICE ALL THE SU
0.12%:  CAN SEE YOU PUNCHED IT
0.12%:  NEED YOU TO CUT THE
0.12%:  CAN HELP YOU OUT IN THAT DEPT
0.12%:  USED TO THINK THAT "
0.12%:  USED TO THINK THAT "AL
0.12%:  PUT ALL THE KEYS ON
0.12%: 'LL TOTALLY STAND
0.12%:  THINK YOU'LL NOTICE THAT ALL
0.12%:  NEED TO ASK YOU A H
0.12%:  CAN SEE YOU DON'T U
0.12%:  COULD CALL YOU THAT E
0.12%:  ACTUALLY DON'T NEED TO TALK A
0.12%:  DON'T THINK HE LIKES YOU A
0.12%:  CALLED THE POLICE AND THEY AL
0.12%: 'LL NEED THE KEYS IN 
0.12%:  LOOKED IT UP AND THAT IS
0.12%:  THINK THAT'S CALLED PULL
0.12%:  COULD TOTALLY CUT
0.12%: 'D P
0.12%:  COULD TOTALLY HEAD
0.12%: 'LL SHUT THE
0.12%:  ACTUALLY NEED THE S
0.12%:  NEED TO CHECK THE OIL L
0.12%: 'D LIKE TO TAKE THESE
0.12%:  COULD USE HELP T
0.12%:  DO NOT TH
0.59%:  DO NOT THINK THAT'
0.31%:  DO NOT THINK THAT'S A
0.18%:  DO NOT THINK THAT IS
0.12%: 'LL CALL THE POLICE ON THIS AND
0.12%:  COULD USE A LITTLE HELP DY
0.12%: 'LL ASK YOU TO
0.12%:  DON'T THINK YOU SPELL "
0.12%:  NEED YOU TO CALL IN THE
0.12%:  ACTUALLY THINK THAT ONE
0.16%:  ACTUALLY THINK THAT ONE'
0.12%:  NEED YOU TO SPIT
0.12%:  KINDA THINK YOU SHOULD KEEP ALL
0.12%:  LOOKED IT UP AND THAT'S ACTUALLY LIKE A
0.12%:  CAN SEE YOU UP C
0.12%:  THINK YOU NEED H
0.12%:  CAN SEE YOU I
0.12%:  THINK YOU SPELLED THAT ONE "
0.12%:  NOTICE THAT YOU SPE
0.12%:  ASKED YOU ONCE AND TH
0.12%:  CAN SEE YOU NOTICE
0.12%: 'LL LET YOU KEEP THE ST
0.12%:  LOOKED IN ALL THE US
0.12%:  NEED TO CALL IN SO
0.12%: 'LL LET YOU CUT IN LINE AT TAC
0.12%:  CAN'T DO IT
0.12%:  KINDA HAD THE
0.12%:  AP
0.12%:  COULD TALK ALL
0.17%:  COULD TALK ALL DAY A
0.12%:  ACTUALLY THINK THAT'S CALLED "P
0.12%:  COULD TOTALLY SH
0.12%:  CAN TOTALLY USE THAT IN A P
0.12%:  COULD TOTALLY UPDATE ALL THE
0.12%:  COULDN'T HELP NOTICE ALL THE DIAL
0.12%:  CAN SEE YOU DON'T ACT
0.12%: 'D LIKE TO TELL YOU THAT NE
0.12%:  TOTALLY NEED H
0.12%: 'D LIKE TO TELL YOU THAT I CAN NE
0.12%:  DON'T THINK ALL
0.13%:  DON'T THINK ALL THE
0.12%:  CAN TOTALLY SEE THE PUNCH
0.12%:  DON'T KEEP S
0.15%:  DON'T KEEP SON
0.12%:  THINK IT'S ACT
1.38%:  THINK IT'S ACTUALLY "
1.10%:  THINK IT'S ACTUALLY "AL
1.00%:  THINK IT'S ACTUALLY "ALL
0.69%:  THINK IT'S ACTUALLY "ALL THE
0.64%:  THINK IT'S ACTUALLY "ALACK THE
0.54%:  THINK IT'S ACTUALLY THE
0.46%:  THINK IT'S ACTUALLY C
6.93%:  THINK IT'S ACTUALLY CALLED "THE
3.24%:  THINK IT'S ACTUALLY CALLED A
2.30%:  THINK IT'S ACTUALLY CALLED THE
1.82%:  THINK IT'S ACTUALLY CALLED "H
1.27%:  THINK IT'S ACTUALLY CALLED H
0.81%:  THINK IT'S ACTUALLY CALLED "HE
0.58%:  THINK IT'S ACTUALLY CALLED "HEN
0.50%:  THINK IT'S ACTUALLY CALLED "HA
0.47%:  THINK IT'S ACTUALLY CALLED AN
0.45%:  THINK IT'S ACTUALLY A
0.45%:  THINK IT'S ACTUALLY "ALACK THE D
0.44%:  THINK IT'S ACTUALLY CALLED "THE L
0.40%:  THINK IT'S ACTUALLY CALLED "LO
0.37%:  THINK IT'S ACTUALLY CALLED "A
0.35%:  THINK IT'S ACTUALLY CALLED "HEL
0.32%:  THINK IT'S ACTUALLY CALLED "THE P
0.32%:  THINK IT'S ACTUALLY CALLED "THE LO
0.32%:  THINK IT'S ACTUALLY CALLED "T
0.31%:  THINK IT'S ACTUALLY CALLED "NOT
0.28%:  THINK IT'S ACTUALLY CALLED "A LO
0.27%:  THINK IT'S ACTUALLY CALLED "PO
0.26%:  THINK IT'S ACTUALLY H
0.25%:  THINK IT'S ACTUALLY CLE
0.24%:  THINK IT'S ACTUALLY CALLED "HELP
0.24%:  THINK IT'S ACTUALLY CALLED "AN
0.22%:  THINK IT'S ACTUALLY "ALO
0.22%:  THINK IT'S ACTUALLY CALLED HEN
0.22%:  THINK IT'S ACTUALLY CALLED "O
0.21%:  THINK IT'S ACTUALLY NOT
0.21%:  THINK IT'S ACTUALLY CALLED A P
0.21%:  THINK IT'S ACTUALLY CALLED "THE EN
0.21%:  THINK IT'S ACTUALLY "ALACK"
0.19%:  THINK IT'S ACTUALLY CALLED "DO
0.19%:  THINK IT'S ACTUALLY CALLED "TO
0.18%:  THINK IT'S ACTUALLY P
0.18%:  THINK IT'S ACTUALLY HEL
0.20%:  THINK IT'S ACTUALLY HELPE
0.17%:  THINK IT'S ACTUALLY CALLED "TH
0.16%:  THINK IT'S ACTUALLY CALLED T
0.16%:  THINK IT'S ACTUALLY CALLED HA
0.16%:  THINK IT'S ACTUALLY CALLED "THE D
0.15%:  THINK IT'S ACTUALLY "ALACK NO
0.15%:  THINK IT'S ACTUALLY CALLED "ONE
0.14%:  THINK IT'S ACTUALLY CALLED "THE UN
0.14%:  THINK IT'S ACTUALLY CALLED "P
0.14%:  THINK IT'S ACTUALLY AN
0.13%:  THINK IT'S ACTUALLY PO
0.13%:  THINK IT'S ACTUALLY "ALL A
0.13%:  THINK IT'S ACTUALLY CALLED AN "O
0.12%:  THINK IT'S ACTUALLY "LO
0.12%:  THINK IT'S ACTUALLY CALLED "D
0.12%:  THINK IT'S ACTUALLY LE
0.12%:  THINK IT'S ACTUALLY CALLED "POET
0.12%:  THINK IT'S ACTUALLY "ALACK THEE" AND
0.12%:  THINK IT'S ACTUALLY CALLED A H
0.12%:  TOTALLY HAD NO IDEA I
0.12%: 'LL DO YOU THE S
0.12%: 'D LIKE TO THANK THE ACT
0.12%: 'LL LET YOU EDIT THE S
0.12%:  LIKE THAT YOU USED AN OLDEN
0.12%:  HAD NO IDEA HE'
0.12%:  SHOULD LIKE TO INT
0.12%: 'LL SEE YOU AT THE LOCAL P
0.12%:  TOTALLY THINK THESE
0.12%:  CAN'T SEE YOU ON
0.13%:  CAN'T SEE YOU ON THE
0.12%:  NEED ANOT
0.12%:  THINK YOU SHOULD CLEAN T
0.12%:  ATE ALL THE CHICKEN AND YOU
0.12%:  ACTUALLY NEED THIS TO
0.12%:  NOTICE YOU ST
0.17%:  NOTICE YOU STILL D
0.16%:  NOTICE YOU STILL CAN
0.12%:  THINK THAT'S UNCLE
0.12%:  STOLE A
0.12%:  PUT YOU ON SPEED DIAL IN CA
0.12%:  TOOK A
0.12%:  CALLED THE POLICE THIS
0.12%:  THINK YOU CALLED AND
0.12%:  THINK YOU'LL P
0.32%:  THINK YOU'LL PLEASE
0.12%:  NEED YOU TO SELL THE
0.12%:  COULD USE A LITTLE HELP CONTA
0.12%:  CAN'T CALL YOU THAT AND I
0.12%:  NEED YOU TO SPELL CHECK AN
0.12%: 'LL TELL PEOPLE THAT YOU SAID "HA
0.12%:  CAN HELP YOU TO
0.12%:  CAN TOTALLY TELL AND IT'S A
0.12%: 'LL TELL YOU T
0.12%:  COULD CALL YOU THAT N
0.12%:  THINK YOU PULLED THE "
0.12%:  THINK YOU CAN TELL THE DI
0.12%:  THINK I'LL HE
0.12%:  THINK YOU CAN LO
0.12%:  THINK YOU NEED TO PUT THIS
0.12%:  TOTALLY CHECKED THAT
0.12%:  THINK THAT'S ACTUALLY A LOAN
0.12%: 'D LIKE TO SEE YOU ATTEND A
0.12%:  DON'T CALL YOU "THE
0.12%:  HOPE YOU SA
0.12%:  HOPE THIS DO
0.12%:  NEED TO CALL THE POLICE H
